review#,submission#,review_assignment#,reviewer name,field#,review_comments,overall evaluation - score (ignore),overall evaluation score,subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),Date of review submission,Time of review submission,recommendation for best paper
358,98,96,Antxxxx Doxxx,2,"(OVERALL EVALUATION) This paper presents a system for extracting the main event descriptors from news articles, aiming to get answers to the 5W (who, what, where, when, why) and the 1H (how) questions.
    
    The main announced contribution is the promised release of software (with source code) and manually annotated ground truth, in a field where much of the state of art is based on concealed code and datasets. However, this latter key claim of the paper is to some extent exagerated. While I'm not either aware of datasets that would address the 5W1H questions, there are several existing datasets that cover some of the questions, the most famous being the ones distributed within the message understanding conference series (MUC). The tasks on terrorist event detection in Latin America for instance very directly covered several of the W questions (MUC-3 and MUC-4). Also, a few domain-specific system are available, together with their data sets (for instance in epidemic event detection from news, over the who, where and when questions). Perhaps the reason why a good share of related work was missed by the authors is the early assumption that their 5W1H problem relates essentially to QA (beginning of section 2, while a lot of related work lies in the neighbouring field of information extraction (IE).

    While this tampers the motivation of the work, the effort to build 1) a generic pipeline 2) for any domain event detection and 3) to share it with the community all form a very worthwhile contribution. The system assumes as input prepared ""clean"" documents, which is in practice very difficult to obtain, both for online contemporary sources (the generic extraction of title, content and paragraph divisions is difficult in practice due to different formattings in every source, commercials, distribution on multiple pages, copyright notices, etc.) and for digitised newspaper (article reconstruction, OCR issues, classification of actual news articles versus novels, columns, advertisements, obituaries etc.). It also seems to assume that all articles contain an event, which is unrealistic (think of summaries, in-depth analysis, etc.). These issues are probably to be handled priorily to running the system.
    A big concern about the system is its efficiency. It includes several inefficient linguistic analysis tools (POS-tagging, full parsing, corerence resolution, NERD), to be applied to every single sentence in every article. It would be good to get some further background on this. This is hopefully something that can easily be tailored in the source code.  
    
    The evaluation is the biggest problem. There is a number of critical flaws in it. The biggest one is that the whole evaluation is run on a corpus of 60 news articles split into 6 categories (10 documents per category). This is enough to question any of the results that follow. In addition, the parameter learning section uses 100 articles to fix optimal parameters, determining 692 configurations, from which the best one was picked ""by hand"" due to ""correlated parameters"" (methods such as principal component analysis would generally be more appropriate to handle something like this). Oddly, the assessments used for parameter learning were binary, while the assessments for the evaluation were made on a 3-point scale.
    As mentioned earlier, comparative evaluation could have been performed using existing data sets, even if only for some of the W questions. With tiny data sets assessed on different scales, it is hard to trust any of the conclusions in and subsequent to sections 4 and 5. 
    
    The paper is clear and well written. There is some redondancy at the end of section 5 (with the end of section 4), about ICR results (ICR is not defined by the way - and why not use generalized Kappa?). Access to the data is inconvenient to the reviewers since one should send an email to the 1st author. As JCDL reviewers are usually anonymous, this is a problem (I understand the author wants to know who sees the source core at this point, but the data set would have been interesting to see, or even a sample of it)

    In summary, the scientific contribution of the paper appears too slim, only combining existing tools and lacking to provide sufficient evaluation. However, the software contribution presented appears very worthwhile for the community, provided a corpus of articles can be input in a appropriate shape. I fear this is not possible for JCDL 2018, but if it is, this paper would provide a very strong demonstration paper.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I don't dare to give this out as I'm a co-author, but the following points to a corpus with published evaluation over 3 W questions (2015):
    https://daniel.greyc.fr/public/index.php?a=AboutDAnIEL
    https://daniel.greyc.fr/public/corpus_daniel.tar.gz","Overall evaluation: -1
Reviewer's confidence: 5
Recommend for best paper: no",-1,,,,,2/18/2018,14:57,no
361,98,419,Masxxxxxx Yosxxxxx,3,"(OVERALL EVALUATION) The authors have developed a publicly available 5W1H extraction system
for news articles named Giveme5W1H. The authors made an extensive
review of literature in this research field and integrated several
existing tools and software to yield better performance.
The contribution of the authors to the research community can be
acknowledged. However, the reviewer could not find strong original
technical contribution in the paper.","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/20/2018,13:33,no
362,98,374,Domxxxxx Tkxxxx,4,"(OVERALL EVALUATION) The paper describes a system for extracting the answers to journalistic 5W1H questions from news articles. I believe this is an important topic, especially since such articles are still being published in an unstructured, non machine readable format. The described approach seems sensible and gives good results. Even though this is not the first attempt to solve this task, I agree with the authors that lack of published datasets and code is a serious issue which holds back future research and needs to be addressed. For these reasons, I believe this is a valuable paper, and along with the dataset and code will be very useful for the community.

Some smaller issues and questions:

1. In the abstract the authors report ""extraction precision"", referring to ""mean average generalized precision (MAgP)"" described on page 8. Since ""precision"" is an evaluation metric used widely in classification, I would suggest giving the full name of the metric in the abstract, so that the reader is not confused.

2. I would also rename section 2 into ""State of the art"" or similar. The current title suggests this section covers the new proposed approach.

3. Page 7, ""For 'when' candidates, we computed the difference in seconds between candidate and annotation. For 'where' candidates, we computed the distance in meters between both coordinates."" - I wonder whether this is an appropriate metric of similarity. For example, if the wrong time expression was extracted from the text, I doubt it matters whether this wrong time is (by random chance) closer or farther from the ""true"" time. It seems to me a more discrete metric (correct or not?) might be more appropriate. It would be good if the authors could comment on this issue in more details.

4. Evaluating described task seems like a separate challenge. The authors asked human assessors to judge the results of their approach and the results of those judgments are reported in the paper. One problem with this evaluation approach is that it will be difficult to compare potential future alternative extraction approaches to the results from the paper. Have the authors consider an alternative evaluation approach, such that the results are judged automatically by comparing them to ground truth?

5. It would be also good to add some comments on the impact of errors occurring during preprocessing (if any) on the final results.","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/20/2018,18:08,no
363,99,291,Denxxxxx Pexxxx,1,"(OVERALL EVALUATION) The paper proposes a subject-based document retrieval approach based on a score that combines keywords in the document and terms in the query.

The topic is interesting for digital libraries. However, it has been much discussed in the literature over the last decades. A new proposal should provide clear evidence of superiority. However, the paper does not provide such evidence in a convincing way. The experimental evaluation is simple, only based on the opinion of users for 10 queries.

Other observations:
-- In the Introduction, the authors should present how the method was evaluated and the main results.
-- In Related Word, make clear the difference between the present work and that of the reference [10]. This section should also contrast the present work with those of literature, which was not done. In addition, the entire section was written in a single paragraph. It should be better organized by approach.
-- The text contains several typos, spellings, and incomplete sentences.
-- There are few recent bibliographical references, and an incomplete reference.","Overall evaluation: -1
Reviewer's confidence: 5
Recommend for best paper: no",-1,,,,,2/8/2018,13:58,no
364,99,79,Faxxx Crexxxx,2,"(OVERALL EVALUATION) This paper presents a scoring scheme for improving retrieval of relevant documents in a digital library context. For this purpose the authors use a collection of papers as their dataset. The idea is to rely on the categories or ""subjects"" that are manually associated with the documents by human experts. Such categorization is usually present in digital libraries. They combine their scoring system with that of BM25 in a linear interpolation. 

The idea is interesting in that they convert each document as well as query to a vector of subjects, where each element of the vector represents the corresponding probability of a subject. 

The evaluation is a case study presenting the ranking results of their approach as well as that of BM25 to 10 participants each looking at the results for 10 queries. The results show that in 83% of cases, the participants preferred the ranking results of the new approach over BM25.

There are however some concerns:

1. The only used baseline is BM25. Since the authors try to propose a semantic approach, including baselines such as LSA, LDA, or word2vec would have been appropriate. I would have been more positive about the paper if these baselines were included.

2. Usually the cosine similarity is preferred over the Euclidean distance in vector space. I wonder what is the reason behind not using it?

3. The equations should be carefully checked. For example, I don't understand why should there be a joint probability in Equation 6, though this does not directly interfere with the correctness of other equations. Are you making some assumptions about the data?


A few comments on the writing of the paper:
The paper is generally well written and organized. However, there are a number of typos and grammar mistakes in the paper. Also, there are some strange characters as a result of Latex output in the paper, e.g. in the related work section.

There is a comma in the title. Reference 1 starts with the year. The writing should be consistent. For example, you write ""database"" and also ""data-base"". 

Additionally, the literature review is almost a page and yet a single paragraph. I suggest breaking it down to paragraphs to improve the writing.

Over all, given the above mentioned points, as well as the relatedness of this paper to JCDL I recommend a week accept.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,Seyed Ali,Bahrainian,seyed.ali.bahreinian@usi.ch,356,2/12/2018,1:22,no
365,99,328,Raxx Schxxxx,3,"(OVERALL EVALUATION) The paper considers the problem of retrieving documents from a digital library. Instead of using title information only, the proposed method relies on user-defined keywords and subjects. This is not really a novel idea. The actual implementation represents documents in terms of a subject probability distribution derived from the user-defined keywords. Existing methods such as SVD follow a similar line, but do not rely on predefined subjects or keywords; the paper lacks a comparison to these existing methods.

The paper relies on user-defined keywords and subjects. It is not clear if such an annotation exists for every digital library, and which quality the annotation can have. Full-text search on the abstract may be a more promising approach than relying on keywords and subjects. The granularity of the set of subjects will also contribute to result quality. In general, the idea of using an intermediate subject layer is new, methods like SVD have done this for a long time without the need for an explicit subject definition. The proposed method represents a document with a subject vector, where the subject weights are generated based on the keywords assigned to the document; this is not exactly a probability distribution, but is computed in a similar way.

Either Equation (7) of the following explanation of ds^i_m is wrong; from the explanation, it seems that i (and the sum in Eq. 7) is not needed.

The final subject-based score is computed as the inverse of the distance of the document subject vector and the query subject vector; this is clearly not a proportional relationship. It is unclear why not a more standard cosine similarity is used. Algorithm 1 is not needed since it does not add anything new.
The paper proposes to linearly combine the subject-based score with a standard BM25-based score (where it is unclear on which part of the document this score is computed); the paper does not really explore in the experimental evaluation how the different parameters of the models should be set.

The experimental evaluation is not satisfactory for a full paper. The data set under consideration is not public and collected from a private site, so it would even be difficult to reconstruct the collection. It is unclear why it was necessary to classified the subjects into eight main subjects; this is not used anywhere.
It is fully unclear why the paper does not compute the combined score for all documents. There is no point in making performance optimization at a stage when result quality is evaluated; this should be a second step. There is no need to explain the example query right before Table 1 in such a detail; all computations are trivial.
The paper then proceeds to evaluate the proposed method. A first set of results is presented for a single query (!), this includes the result on the impact of the \alpha variable. The measure for the amount of changes is strange, the paper should have used a standard measure for comparing ranked lists. There is no point in such an analysis with a single query; in addition, simply considering the amount of change does not tell anything about result quality.
For the following experiments, it is unclear why \alpha=0.3 was chosen, especially if that tuning was done on a separate set of queries. For the actual test that follows, 10 queries were defined, seemingly with a title only; here, a more precise definition of the information need would have been required. A simple evaluation such as ""is ranking list A or B better"" seems like a hard decision if the information need is not known. It is unclear why not a more standard evaluation like precision or ndcg was used together with a per-document assessment procedure.","Overall evaluation: -2
Reviewer's confidence: 5
Recommend for best paper: no",-2,,,,,2/12/2018,16:51,no
367,100,90,Yixx Dxx,1,"(OVERALL EVALUATION) This paper tries to diversify the citation contexts in academic literature for knowledge recommendation. I personally pretty much like this article. Nevertheless, I here provide several minor suggestions and hope the authors can consider: (1) In Methodology section, the authors should first use natural language to provide an overview of the given section for readers, and then provide mathematical notations. Finally, some examples should be provided. (2) More details should be provided in the section on evaluation. (3) More implications (not simply methodology-related implications) could be discussed in the Conclusion section.","Overall evaluation: 2
Reviewer's confidence: 5
Recommend for best paper: no",2,Yi,Bu,buyi@iu.edu,353,3/9/2018,4:56,no
368,100,242,Kxx L,2,"(OVERALL EVALUATION) The study aims to diversify citation contexts in order to improve the efficiency of applications based on citation contexts. Citation context is a well-studied topic in information science. To diversify citation contexts and provide a list of citation contexts with minimum overlaps helps to obtain a comprehensive view of how a work is cited. The study adopts search result diversification methods from information retrieval field to diversify citation contexts. The application of the methods seem reasonable. The diversified lists are then presented to users for assessment. The results suggest the diversified lists are favored by the users in terms readability, diversity and usefulness. I understand the paper focuses on introducing the diversification task for citation context. In future study, maybe some newer diversification methods may be used. Some of them have been cited in the current paper.
The structure of the paper is pretty clear. However, there are many details not clearly explained, in particular, the user study procedure: 
1.	Please specify which items from Table 2 measure Readability, Diversification and Usefulness, respectively. 
2.	Does each respondent read all four lists, or are they randomly assigned to one list? If they read all four lists, what is the sequence? How to control carry-over effects? Do they answer the open questions after reading each list, or after reading all lists? Where is the evaluation conducted? Do the subjects read in a lab environment, or they complete the tasks online?
3.	page 7, it?€?s not clear where ?€?unsure?€? comes from because earlier it describes ?€?3-point Likert scale ranging from agree (3) to disagree (1)?€?. Is there a fourth option ?€?unsure?€?? And then, ?€?we further changed the instrument in to binary measurement: bad or good?€?. However, the survey questions are more of agree or disagree questions, why use bad or good? This is not clear.
Although the paper is mostly readable, the writing needs to be improved. There are numerous grammar errors.
Minor:
1.	page 4, ?€??€?were cited between 15 and 100 times, i.e. each had 15 to 100 citation contexts, ?€??€?. Well, ?€?cited 15 and 100 times?€? does not necessarily mean 15 to 100 citation contexts as one paper can be cited multiple times in the full-text of the citing paper. 
2.	page 4, section 3.2.2, is average pairwise similarities between words used for similarity between citation context? This is not clear.
3.	page 4, below equation 1, ?€?where d_i is the citation context with highest score in one round of iterative selection.?€? d_i should be c_i.
4.	page 4, ?€?S is the re-ranked dataset?€?, re-ranked list?
5.	The paper seems to use correlation and similarity interchangeably. The two concepts are not exactly the same. Please use consistent terminology. 
6.	page 4, ?€?we set the same correlation degree function for sim_1 and sim_2?€?, what is the correlation degree function?
7.	What does D represent in equation 2? What is ???
8.	Which one is penalty coefficient? This is not explained.
9.	Something common as kappa score does not need an equation, just provide a reference. 
10.	Citation styles are not consistent.","Overall evaluation: 2
Reviewer's confidence: 4
Recommend for best paper: no",2,,,,,2/14/2018,20:27,no
369,100,322,Horxxxx Saxxxx,3,"(OVERALL EVALUATION) Given a paper which has been cited a considerable number of times, the problem addressed  by this paper is how to show the citation?€?s contexts which will cover the various aspects considered by the citing articles avoiding redundancy.

The paper describes a number of techniques to rank the set of citation contexts to try to reduce redundancy. Among the techniques used to measure similarity between contexts are one based on WordNet and another one based on semantic analysis. To re-rank the contexts marginal maximal relevance and a diversity score are proposed.  

The proposed approach is evaluated in a CiteSeerX dataset relying on human judgement who assessed how readable, diverse, and useful the list of citation contexts is.

The problem studied in this paper is relevant and appropriate for the conference. But the paper has a number of problems as far as I can tell.  First the similarity methods are not well explained: semantic analysis is not explained and the use of WordNet is unclear, after all you compare sentences and not just individual words. 

With respect to the re-ranking or diversification strategies, the formulas for MMR are incorrect or at least the variables you mention (d and S on page 4).
Besides, some of the evaluation metrics, although well known,  are not explained or referenced at all.

The paper also has some methodological problems (for example the evaluation setting; first use of a 3-point scale and then binary).

I also found some problems with English, specially in the  experimental section.","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,2/14/2018,22:05,no
370,101,1,Trxxx Aaxxxx,1,"(OVERALL EVALUATION) This full paper presents the results from a quantitative study (survey) and a qualitative study (interviews) on how users create and organize associations/links between documents they keep and use in their own workspace. The paper is well structured, with good use of tables and figures, and is easy to read. The contribution is well aligned with the topics of the conference and will be of interest to the general conference participant. I particularly like that the authors have a systematic approach with scenarios and mechanisms, and that they emphasise the impact of the findings by listing design implications. 

My main concern, and the reason for my somewhat reserved score, is that I find the analysis to elaborate on and emphasise details, but the results do not really establish novel insight beyond saying what x% of the participants have done. The results could have been more contextualized, and I miss a systematic discussion of the validity of the results. The majority of participants are master and phd-students, and we can assume they have a specific study situation that not necessarily can be generalized to the broad community. I would also have liked to know the kind of research the participants were doing as I suspect there will be a difference between sciences and tasks.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/14/2018,9:41,no
371,101,51,Gexxxx Bucxxxx,2,"(OVERALL EVALUATION) Generally this is a good paper, but there are some limitations that it would be helpful to address in a final version.

One issue is that the scholarship (references) have been somewhat compressed to fit in more body text. As a result, some useful material is left out that would be really helpful to have here, and a broader context is absent that really should be present.

In particular, while PIM and Annotations are both developed subjects, the material presented here omits some of the more recent work done. Jennifer Pearson's work on annotations, while focussed on digital readers, would be pertinent here, or perhaps, more speculatively, also the work of Craig Tashman. Pearson noted that users often fold books into each other as a form of annotation, for example, and this is just one case of physical constructs that are overlooked here. Such issues are a necessary product of the research method, but they need to be discussed. Furthermore, how annotation works with multiple documents has had at least some coverage, again through Pearson, but also Masood Masoodian's work on enabling recall of filed documents drew on primary material.

Furthermore, to take one point, we are told that ""The use of annotations as well as highlights enables participants to establish associations at any level of granularity since participants are able to highlight and annotate any part of a document. Annotations and highlights also yield to di erent types of bidirectional and unidirectional associations"" - what's exactly meant here by 'granularity'? Also, if a part of a physical document falls beyond a single page, this isn't always possible either. There are implicit constraints weighing on the researchers' minds that need to be made more explicit. Granularity is mentioned later, in 4.2.1, but I'd recommend a bit of re-ordering here.

Overall, some editing will be required to save space, and give scope to explain the issues that are over-compressed, but some of the minor observations may usefully be dropped, and the reader given more guidance. Where prior research findings are confirmed, compression of the narrative is probably appropriate.

Overall, I like this paper but a lot of editing is needed to make it ship-shape.","Overall evaluation: 1
Reviewer's confidence: 5
Recommend for best paper: no",1,,,,,2/17/2018,7:24,no
373,101,166,S.M.xxxxxxxx Haxx,3,"(OVERALL EVALUATION) This paper presents a study on user behavior when associating information across physical and digital documents. *The paper is suitable for human-computer interaction (HCI) conferences.* 

The ideas presented in the paper are interesting, but the paper suffers from several weaknesses. 

1. The authors did not provide a clear description of the questionnaires they used for data collection. Hence, it is difficult to replicate the study to validate the results.

2. The authors employed the knowledge worker population (MS students, PhD students, and researchers holding PhD degrees) in their study. However, they did not provide a discussion about their research areas or domains of expertise.  Usually, computer science or engineering researchers are more proficient with advanced software features than others because of their educational training. Therefore, it was not clear whether or not the knowledge workers' areas of expertise imposed any bias in the study.

3. A limited number of document-linking software products were mentioned in the paper. However, many of these are available with advanced features. For example, the paper did not mention Mendeley. Moreover, authors may consider software such as Jupyter Notebook to expand the scope of their research.
 
4. The result section's description was too long. I think this section can be shortened because most of the results are understandable from Table 1.
  
5. Some of the design implications looked obvious (e.g., DI3: Documents side by side). Hence, they did not provide concrete research contribution. Moreover, authors did not specify any implementation approach for the design implications.

6. The references mentioned in the paper were old. I think the authors need to study recent related literature.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This paper may be considered for a short paper or a poster.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/23/2018,9:56,no
374,101,273,Uxx Muxxx,4,"(OVERALL EVALUATION) The authors present results of a user study on cross-document linking. Given that this topic has been researched extensively before and several findings are re-affirmation of previous findings in the context of cross-document linking, I recommend this paper be converted to a short paper.

relevance to JCDL
- topic of the paper, dealing with human perspective of cross-document linking is highly relevant to JCDL

novelty/originality, adequacy of references
Overall, the background work can be enhanced with more context and the authors should consider adding well-framed measurable research questions to develop contributions of the paper.

The authors present results from a user study focusing on cross-document linking. While I agree that a user study focusing on cross-document linking has not been done before, several findings are affirmation of findings from previous studies. ""The Need for a Linking Tool."" was researched in works as early as Ted Nelson's Xanadu. The main problems with digital annotations and linking, especially in scholarly, knowledge-based tasks include: 1) dealing with the lack of affordances provided by paper, 2) working across and managing multiple document formats, and 3) managing new information (annotations and links) in the context of existing information. Given that these problems have been established and researched before, the novelty of this research is unclear. 

The subsuming topic of document referencing and annotation has been extensively researched before, including:

Annotations
C. C. Marshall, ?€?Annotation: from paper books to the digital library,?€? in DL 97: Proceedings of the second ACM international conference on Digital libraries. New York, NY, USA: ACM Press, 1997, pp. 131?€?140.

A. J. B. Brush, ?€?Annotating digital documents for asynchronous collaboration,?€? Ph.D. dissertation, University of Washington, Department of Computer Science, 2002.

M. Winget, ?€?Annotation of musical scores: Interaction and use behaviours of performing musicians,?€? Ph.D. dissertation, SILS, UNC-Chapel Hill, 2006. [Online]. Available: http: //www.ischool.utexas.edu/???megan/Winget final-Rev2.pdf

M. Agosti, N. Ferro, and N. Orio, ?€?Annotating illuminated manuscripts: an effective tool for research and education,?€? in JCDL ?€?05: Proceedings of the 5th ACM/IEEE-CS Joint Conference on Digital Libraries. New York, NY, USA: ACM Press, 2005, pp. 121?€?130.

?€?A formal model of annotations of digital content,?€? Transactions on Information Systems (TOIS), vol. 26, no. 1, pp. 1?€?55, 2008.

Superimposed information
Uma Murthy, Lin Tzy Li, Eric Hallerman, Edward A. Fox, Manuel A. Perez-Quinones, Lois M. Delcambre, and Ricardo da S. Torres. 2011. Use of subimages in fish species identification: a qualitative study. In Proceedings of the 11th annual international ACM/IEEE joint conference on Digital libraries (JCDL '11). ACM, New York, NY, USA, 185-194.

Uma Murthy, Digital Libraries with Superimposed Information: Supporting Scholarly Tasks that Involve Fine Grain Information, Ph.D. dissertation, Virginia Tech, Department of Computer Science, 2011.

PIM
William Jones, Ammy J. Phuwanartnurak, Rajdeep Gill, and Harry Bruce. 2005. Don?€?t Take My Folders Away! Organizing Personal Information to Get Things Done. In Proceeding of CHI 2005. Portland, USA.

methodology and assessment/evaluation
The authors conducted a survey and follow-up interviews with participants. Most of the paper includes results form the survey, with some quotes from the interviews. This is good way to get holistic data on questions. 

style/quality of writing
While the authors provide detailed information in the paper, the style of writing can be more succinct to improve readability ad comprehension. In several instances, the authors use multiple setences to convey a single point. These can be combined to improve comprehension. For example: page 6, 4.2.2:

In this scenario, 62.6% of the participants tend to associate information. Most participants have adopted various mechanisms to create associations between pieces of information in different documents of the same document type
-->
62.6% of the participants have adopted various mechanisms to create associations between pieces of information in different documents of the same document type

There is also several repetitions of the phrase: ""it is worth noting"", which should be there for truly insightful results. 

Other nit picks:
Page 1, section 2:
There have been a number of studies in di erent domains re- vealing some interesting findings regarding the user behaviour when associating information within and across physical a
-->
rephrase. this seems a little odd considering you start your abstract claiming the opposite 

Page 3, section 3.1.1
Note that the scenario names and their abbreviations, which are also illustrated with an example in Figure 1, are extensively used in the remainder of this chapter.
-->
Note that the scenario names and their abbreviations, which are also illustrated with an example in Figure 1, are extensively used in the remainder of this paper.


Page 3, 3.2
While 97 participants have provided us their email addresses, we only selected 12 participants for an additional interview.
-->
Mention how you selceted these participants

Page 5, section 4.1
to associate information in both, scenario SP and MP.
-->
in both scenarios, SP and MP


Page 6, section 4.2.1
The contradiction between our finding and the previous study finding might be explained in different ways. In the study of O?€?Hara et al., participants were, for example, obliged to use a specific ?€?old?€? document viewer for reading documents. Some participants might not have been familiar with the annotation features o ered by Microsoft Word 6.0
-->
rephrase: you give one example, yet write that finding might be explained in different ways

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The authors present results of a user study on cross-document linking. Given that this topic has been researched extensively before and several findings are re-affirmation of previous findings in the context of cross-document linking, I recommend this paper be converted to a short paper.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/24/2018,17:16,no
377,102,23,Roxxxx Alxx,1,"(OVERALL EVALUATION) Most of this work is technically solid and the ultimate vision of nuanced techniques for extracting the claims made by research papers is worth pursuing. However, the paper is algorithm driven and we don?€?t get a seat-of-the-pants sense of what was really found and why that is of value I?€?d like to see some descriptive statistics comparing the documents marked as ?€?strong witnesses?€?? In addition, I?€?d like to see some specific examples of what the programs found as results in the sub-sections. What are examples of Author Commitment, of Claims, etc

The main point seems to be to show an example of how the ?€?Skyline Operator?€? analysis can be applied to text processing of scholarly material. The specific construct the authors evaluate they call ?€?strong witness?€?. To accomplish that, there?€?s a complex set of descriptions, relevant conceptual frameworks, of studies developing data sets, and then evaluations. 

To organize this review, I consider the paper section-by-section:

Introduction/Section 2 ?€? Could you provide a some examples of strong witness and what do you expect readers to do with a paper that is a strong witness. Wouldn?€?t a highly readable review paper be more useful to readers in most cases? 

The discussion of argument mining is interesting but since (as you note) much of that work doesn?€?t use techniques similar to yours, it's notclear why that discussion is relevant.

Section 3 ?€? While Section 2 set us up to focus on text processing, here we get two dense pages that covers everything from formal definitions, to linguistics, to cognitive science. Given the breadth of the paper, this is all relevant but I wonder if there?€?s some way to help the reader see how it all hangs together.

Section 4 ?€? This starts with the Research Questions. I would normally expect the Research Questions to be in the Introduction. They are too high-level to be in a section titled ?€?Experimental Setup?€?. Moreover, this section has more than the ?€?Setup?€?. It includes Results and Discussion. At the least, it could be renamed just ?€?Experiment?€? but I think it would be better to divide it into several sections ?€? or use numbered subsections.

We don?€?t any details about how the crowd-sourcing studies were done. One of two sentences would be helpful (was it with Mechanical Turk or something else?)

The main result of the paper is that 86% accuracy of the technique. (Presented just before Table 5 ?€? by the way, Table 5 is not useful and should be dropped.) This does sound ?€?very promising?€?. However, it seems a bit odd that the inter-rater reliability was modest (as reported right after Table 5). 

The question ?€?Will the knowledgebase be complete if it includes strong witnesses only??€? seems odd in comparison to the traditional view of libraries as holding ""all the existing documents that it should hold"". To a first approximation, I don't see why that is hard. It?€?s not at all clear to me that a collection should ?€?avoid redundancy?€? and the citation [41] doesn't seem very relevant to what question of what a library is. Rather, the authors seem to slip over into the question what makes a good knowledge base.

Section 5 ?€? After all your consideration of the nuances of the research, I don?€?t understand why triples should be the ultimate knowledge representation. They seem impoverished. Much better would  be some sort of rich semantics and direct representation. 

Minor Points:

In general, the writing is good but given the complexity, I think it would be helpful to impose a stronger top-down structure. Just adding spaces between paragraphs or indenting the paragraphs would make the conceptual structure easier to parse.

Keywords should be alphabetized.

In Section 3, the subsection headers are confusing an inconsistent: Defs 2&3 may be meaningful to you but won?€?t be for most readers. Why is Def 5 in parentheses? In addition, capitalization of the subsection headers is inconsistent.

In Section 4, it?€?s confusing to say ?€?in the following section?€? after presenting the RQs. I think you mean in the remainder of this section. Also, in the ?€?incomparable relations?€? section, it?€?s confusing to have a ?€?summary?€? halfway through.

There are few terms which I couldn?€?t follow at all. At the end of the first paragraph of the Introduction, what is ?€?facettation?€?? Also, in Research Question #1 (Section 6) what is ?€?incomparable?€?? Maybe it means a ?€?distinctive dimension?€? but I?€?m not too sure.

Given the current numbering, ?€?Algorithm 1?€? should be identified as Table 1. 

There are also some rather casual asides which are jarring in contrast to the rest of the paper. Is it really appropriate to say that argumentation mining ?€?is a current trend in the natural language community?€? (top of Section 2)? That point would be better made with a few citations. Similarly, in Section 3 we are told that Skyline queries ?€?has sparked a lot of interest for years?€?. And, just following that ?€?the field of economy?€? should be ?€?economics?€?. Then in Section 4 under ?€? Document collection?€? we are told that a technique is ?€?clever?€?. And, in that same sentence, it should be ?€?MESH?€? rather than ?€?Mesh?€?.

Throughout the document, there are many small word-choice decisions that could be could be improved. I'd suggest getting one or two friendly, native speakers of English to wordsmith the paper.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) After all the machinations of this research, I would like to see a very simple description of what was really found here. For instance, were there other (maybe simpler) correlates of ?€?strong witness?€?? What was the length of those papers compared to others? Were the authors of those papers particularly well cited in their other work? What about the quality of the journals in which those papers were published?

I gave the authors the benefit of the doubt about this because the techniques they used are plausible (though very complex). But, I also won't object to rejecting the paper because their case wasn't as tight as it should have been.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/24/2018,4:22,no
378,102,170,Braxxxx Hemxxxxx,2,"(OVERALL EVALUATION) The authors study scholarly claims in the  context of a digital library.  They use the idea of finding ?€?strong witnesses?€? of scientific claims to build high quality knowledge bases (the semantic data of claims associated with full articles). They suggest that a prior step of finding highly plausible and low bias claims is helpful (i.e. prior to standard extraction of triples (entity, relation, entity)).  They use the skyline method derived from Pareto dominance theory for this extraction.  They test it using a pubmed corpus and crowdsourced truth evaluations of the claims.  They find the results promising, in the strong witness claims being more convincing and covering the full set of claims.

The paper spends a large amount of time going into details about the Pareto semantics and skyline method, and explaining in detail how they applied their methodology.  This is helpful to readers wishing to understand the methodology, application and implementation.  It may be more than the general JCDL audience wishes to hear in the presentation. 

Other important considerations for discussion and coverage in the presentation:
Why is it important to have the most convincing claims identified?  In our research we find this very context dependent.  I.e. best claims depends on user and task.  So it can be difficult to identify a common set of ?€?best claims?€?
Similarly, the statement about ?€?secondly, the collection should avoid redundancy.?€?  Why is this important.  Why should not all claims be captured and recorded?   All that should be added is recognition (and ability to filter) by stronger/better etc claims.   When humans process information maybe it is helpful to just see highlights, but for machine processing why not just ?€?grade?€? claims while keeping all them.  There is also the temporal aspect (mentioned in limitations), in that grading may change based on new literature and new claims.
Maybe address better the issue of using crowdsourced participants for truth.   Who were the participants?  Evaluation of scientific evidence is something that takes experience and training to become accomplished at, and is often domain specific.   How do we know the crowdsourced subjects had this?   And also the low Kappa agreement (0.44). 

Generally a good paper, and interesting results.   There are limitations but most of these are covered in the Conclusions and Future Work section.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/19/2018,19:53,no
